ID,Study,ref,Pulish,Author,Country,condition,Climatetype,Year,Duration,La,LA,Long,MAP,MAT,Biome,ecosystem,Fertilizer,Treat,n,area1,pH1,TC1,TN1,C,N,P,K,pH,cpH,moisture,SOM,TOC,tTOC,TN,tTN,CN,NH4,NO3,AP,AK,Total,Totalsd,PP,PPsd,Ba,Basd,Fu,Fusd,Om,Omsd,H,Hsd,MI,MIsd,EI,EIsd,SI,SIsd,CI,CIsd,PPI,PPIsd,SP,SPsd,Total1,Totalsd1,PP1,PPsd1,Ba1,Basd1,Fu1,Fusd1,Om1,Omsd1,H1,Hsd1,MI1,MIsd1,EI1,EIsd1,SI1,SIsd1,CI1,CIsd1,PPI1,PPIsd1,SP1,SPsd1,RRTotal,RRPP,RRBa,RRFu,RROm,RRH,RRMI,RREI,RRSI,RRCI,RRPPI,RRSP
5,7,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126,38.1473958,456,43.24691362,NA,NA,NA,NA,82,5.670139699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4,8.465561162,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.411368313,-1.041453875,NA,NA,0.399386062,NA,NA,NA,NA,NA,NA,0.323547986
5,8,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1233,41.77241477,439,41.63463834,NA,NA,NA,NA,118,8.159469324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.1,9.644201283,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.320589619,-1.079447271,NA,NA,0.763351439,NA,NA,NA,NA,NA,NA,0.453898512
5,9,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,IF,IFA,5,a,8.3,10,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417,48.00609223,396,37.55653025,NA,NA,NA,NA,152,10.51050286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.4,12.33700682,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.181497882,-1.182532473,NA,NA,1.016547336,NA,NA,NA,NA,NA,NA,0.70014511
5,10,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,OF,OFA,5,a,8.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292,43.771257,305,28.92611547,NA,NA,NA,NA,119,8.228617369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.4,9.670010921,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.273848437,-1.443634908,NA,NA,0.771790308,NA,NA,NA,NA,NA,NA,0.456571119
5,11,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,OF,OFA,5,a,8.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1506,51.02129492,392,37.17717136,NA,NA,NA,NA,152,10.51050286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.3,12.24237148,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.120582713,-1.192684845,NA,NA,1.016547336,NA,NA,NA,NA,NA,NA,0.692444687
5,12,a5,1996,Mohammad Akhtar,India ,Af,tropical ,3,bMiddle,27.883,27.883,78.08,32,26.46,cropland,A,OF,OFA,5,a,8.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1638,55.49328093,348,33.00422356,NA,NA,NA,NA,198,13.69131293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.1,16.61280346,1699,57.55988052,1292,122.5329219,NA,NA,NA,NA,55,3.803142481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,8.016826421,-0.036563857,-1.311744205,NA,NA,1.280933845,NA,NA,NA,NA,NA,NA,0.997715371
6,1,a6,1998,Mohammad Akhtar,India,Af,tropical ,0.25,aShort,27.88,27.88,78.08,0.25,29.11,cropland,A,OF,OFA,5,a,8.3,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3492,118.3043571,279,26.46028268,2249,174.971306,NA,NA,316,21.85078226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4,2.443312368,4072,137.9539926,1149,108.9708416,2674,208.0361371,NA,NA,249,17.21786323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73,0.41998262,-0.153659641,-1.415435496,-0.173089806,NA,0.238289317,NA,NA,NA,NA,NA,NA,2.029980912
6,2,a6,1998,Mohammad Akhtar,India,Af,tropical ,0.25,aShort,27.88,27.88,78.08,0.25,29.11,cropland,A,OF,OFA,5,a,8.3,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3694,125.1478509,230,21.81313626,2897,225.3854484,NA,NA,420,29.04217895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,1.238862609,4072,137.9539926,1149,108.9708416,2674,208.0361371,NA,NA,249,17.21786323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73,0.41998262,-0.097424397,-1.608567969,0.08010024,NA,0.522801815,NA,NA,NA,NA,NA,NA,1.350819973
7,1,a7,1999,D.L. Porazinska,USA,N,sub,4,bMiddle,28.1,28.1,-81.75,163.33,26.16,shrubwood,S,OF,OFS,4,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,28.7968796,NA,NA,NA,NA,NA,NA,NA,NA,2.18,0.053037861,1.8,0.051647134,NA,NA,NA,NA,NA,NA,2.85,0.059173013,140,12.04449759,600,20.32720913,NA,NA,NA,NA,NA,NA,NA,NA,2.36,0.057417134,1.94,0.055664133,NA,NA,NA,NA,NA,NA,2.9,0.060211136,110,12.38554644,0.348306694,NA,NA,NA,NA,-0.079336742,-0.074901308,NA,NA,NA,-0.017391743,0.241162057
8,1,a8,1999,Christien H. Ettema,USA,N,sub,1,aShort,33.766,33.766,84.416,71.12,16.51,shrubwood,S,IF,IFS,1,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958,32.45577725,NA,NA,628,48.85815037,289,18.0722442,41,2.83506985,NA,NA,2.28,0.065419703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,28.4242141,NA,NA,562,43.7233766,243,15.19569322,34,2.351033534,NA,NA,2.32,0.066567417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132637072,NA,0.111038317,0.173365245,0.187211542,NA,-0.017391743,NA,NA,NA,NA,NA
8,1,a8,1999,Christien H. Ettema,USA,N,sub,1,aShort,33.766,33.766,84.416,71.12,16.51,shrubwood,S,IF,IFS,1,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099,37.23267139,NA,NA,644,50.10294401,416,26.01402626,39,2.69677376,NA,NA,2.47,0.070871345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059,35.87752412,NA,NA,616,47.92455514,419,26.20162741,24,1.659553083,NA,NA,2.45,0.070297488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037075609,NA,0.044451763,-0.00718566,0.485507816,NA,0.008130126,NA,NA,NA,NA,NA
8,2,a8,1999,Christien H. Ettema,USA,N,sub,1,aShort,33.766,33.766,84.416,71.12,16.51,shrubwood,S,IF,IFS,1,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253,42.4499884,NA,NA,764,59.4388963,456,28.51537493,33,2.281885489,NA,NA,2.55,0.073166773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059,35.87752412,NA,NA,616,47.92455514,419,26.20162741,24,1.659553083,NA,NA,2.45,0.070297488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168215609,NA,0.215320826,0.08462189,0.318453731,NA,0.040005335,NA,NA,NA,NA,NA
8,2,a8,1999,Christien H. Ettema,USA,N,sub,1,aShort,33.766,33.766,84.416,71.12,16.51,shrubwood,S,IF,IFS,1,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031,34.92892102,NA,NA,678,52.74813049,302,18.88518252,51,3.526550301,NA,NA,2.19,0.062837346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,28.4242141,NA,NA,562,43.7233766,243,15.19569322,34,2.351033534,NA,NA,2.32,0.066567417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206073778,NA,0.187645438,0.217365574,0.405465108,NA,-0.057665642,NA,NA,NA,NA,NA
9,1,a9,1999,A. Alon & Y. Steinberger,Israel,A,atemp,1,aShort,30.78,30.78,34.77,2,11,shrubwood,S,IF,IFS,4,a,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,6.775736377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,18.92706764,97,3.286232143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,20.04206605,0.723606388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211843996
9,2,a9,1999,A. Alon & Y. Steinberger,Israel,A,atemp,1,aShort,30.78,30.78,34.77,2,11,shrubwood,S,IF,IFS,4,a,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,5.589982511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,17.63658575,97,3.286232143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,20.04206605,0.531234495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141226429
9,3,a9,1999,A. Alon & Y. Steinberger,Israel,A,atemp,1,aShort,30.78,30.78,34.77,2,11,shrubwood,S,IF,IFS,4,a,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,4.065441826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,18.92706764,97,3.286232143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,20.04206605,0.212780764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211843996
10,1,a10,1999,Neher,USA,N,sub,8,Long,35.36,35.36,-82.33,1030,12.6,cropland,A,OF,OFA,4,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2442,82.73174117,1028.7,97.56162291,124,9.647150709,802.4,50.17705449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,0.1,NA,NA,2066,69.99335678,941.8,89.32005099,139.4,10.84526459,667.6,41.74750944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0.1,NA,NA,0.167203005,0.08825821,-0.117065933,0.183918045,NA,NA,NA,NA,NA,NA,0.147635999,NA
10,2,a10,1999,Neher,USA,N,sub,8,Long,35.36,35.36,-82.33,1030,12.6,cropland,A,OF,OFA,4,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8850.4,299.8398862,4000.2,379.3778594,700.2,54.47528167,370,23.13747528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,0.06,NA,NA,4770,161.6013126,1660,157.4339399,760,59.12769789,380,23.76281245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,0.08,NA,NA,0.618116351,0.879526758,-0.081952425,-0.026668247,NA,NA,NA,NA,NA,NA,0.161843025,NA
11,1,a11,1999,McSorley,USA,N,sub,0.83,aShort,29.4,29.4,-82.3,1030,12.6,cropland,A,OF,OFA,3,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1371,46.44767287,10,0.948397229,733,57.02710863,514,32.14233052,114,7.882877143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,5.21731701,33,3.129710854,45,3.500982112,69,4.31482647,6,0.414888271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.186343077,-1.193922468,2.790483212,2.008116761,2.944438979,NA,NA,NA,NA,NA,NA,NA
11,2,a11,1999,McSorley,USA,N,sub,0.83,aShort,29.4,29.4,-82.3,1030,12.6,cropland,A,OF,OFA,3,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057,35.80976675,12,1.138076674,511,39.75559687,490,30.64152131,44,3.042513985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,5.21731701,33,3.129710854,45,3.500982112,69,4.31482647,6,0.414888271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.926237383,-1.011600912,2.4297071,1.960298887,1.992430165,NA,NA,NA,NA,NA,NA,NA
11,3,a11,1999,McSorley,USA,N,sub,0.83,aShort,29.4,29.4,-82.3,1030,12.6,cropland,A,OF,OFA,3,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255,42.51774577,14,1.32775612,538,41.85618614,612,38.27063478,91,6.292472106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,5.21731701,33,3.129710854,45,3.500982112,69,4.31482647,6,0.414888271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.097938249,-0.857450232,2.48119607,2.182625778,2.719100037,NA,NA,NA,NA,NA,NA,NA
12,1,a12,2000,Mohammad Akhtar,India,A,tropical ,0.5,aShort,27.88,27.88,78.08,61.34,25.55,cropland,A,IF,IFA,3,a,8.3,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868,63.28537776,628,59.55934596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,1.884103551,8094,274.2140512,5982,567.3312222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,1.75,-1.466254707,-2.253970073,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593281184
12,2,a12,2000,Mohammad Akhtar,India,A,tropical ,0.5,aShort,27.88,27.88,78.08,61.34,25.55,cropland,A,IF,IFA,3,a,8.3,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1820,61.65920103,430,40.78108083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4,2.099183865,8094,274.2140512,5982,567.3312222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,1.75,-1.492286545,-2.632725031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70137768
12,3,a12,2000,Mohammad Akhtar,India,A,tropical ,0.5,aShort,27.88,27.88,78.08,61.34,25.55,cropland,A,IF,IFA,3,a,8.3,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1910,64.7082824,390,36.98749192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.15,1.991643708,8094,274.2140512,5982,567.3312222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,1.75,-1.444019804,-2.7303635,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648789328
12,4,a12,2000,Mohammad Akhtar,India,A,tropical ,0.5,aShort,27.88,27.88,78.08,61.34,25.55,cropland,A,OF,OFA,3,a,8.3,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3170,107.3954216,675,64.01681293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,1.961532464,8094,274.2140512,5982,567.3312222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,1.75,-0.937391459,-2.181797548,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633555083
12,5,a12,2000,Mohammad Akhtar,India,A,tropical ,0.5,aShort,27.88,27.88,78.08,61.34,25.55,cropland,A,OF,OFA,3,a,8.3,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3295,111.6302568,520,49.31665589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,2.11639029,8094,274.2140512,5982,567.3312222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,1.75,-0.898716878,-2.442681428,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70954099
12,6,a12,2000,Mohammad Akhtar,India,A,tropical ,0.5,aShort,27.88,27.88,78.08,61.34,25.55,cropland,A,OF,OFA,3,a,8.3,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3333,112.9176467,318,30.15903187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,2.477725218,8094,274.2140512,5982,567.3312222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,1.75,-0.887250247,-2.934458856,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867169935
